renamed	dataset	sample_type
ABCS_03453	HRWT_TARGET	Primary Tumor
ABCS_03454	HRWT_TARGET	Primary Tumor
ABCS_03455	HRWT_TARGET	Primary Tumor
ABCS_03456	HRWT_TARGET	Primary Tumor
ABCS_03457	HRWT_TARGET	Primary Tumor
ABCS_03458	HRWT_TARGET	Primary Tumor
ABCS_03459	HRWT_TARGET	Primary Tumor
ABCS_03460	HRWT_TARGET	Primary Tumor
ABCS_03461	HRWT_TARGET	Primary Tumor
ABCS_03462	HRWT_TARGET	Primary Tumor
ABCS_03463	HRWT_TARGET	Primary Tumor
ABCS_03464	HRWT_TARGET	Primary Tumor
ABCS_03465	HRWT_TARGET	Primary Tumor
ABCS_03466	HRWT_TARGET	Primary Tumor
ABCS_03467	HRWT_TARGET	Primary Tumor
ABCS_03468	HRWT_TARGET	Primary Tumor
ABCS_03469	HRWT_TARGET	Primary Tumor
ABCS_03470	HRWT_TARGET	Primary Tumor
ABCS_03471	HRWT_TARGET	Primary Tumor
ABCS_03472	HRWT_TARGET	Primary Tumor
ABCS_03473	HRWT_TARGET	Primary Tumor
ABCS_03474	HRWT_TARGET	Primary Tumor
ABCS_03475	HRWT_TARGET	Primary Tumor
ABCS_03476	HRWT_TARGET	Primary Tumor
ABCS_03477	HRWT_TARGET	Primary Tumor
ABCS_03478	HRWT_TARGET	Primary Tumor
ABCS_03479	HRWT_TARGET	Primary Tumor
ABCS_03480	HRWT_TARGET	Primary Tumor
ABCS_03481	HRWT_TARGET	Primary Tumor
ABCS_03482	HRWT_TARGET	Primary Tumor
ABCS_03483	HRWT_TARGET	Primary Tumor
ABCS_03484	HRWT_TARGET	Primary Tumor
ABCS_03485	HRWT_TARGET	Primary Tumor
ABCS_03486	HRWT_TARGET	Primary Tumor
ABCS_03487	HRWT_TARGET	Primary Tumor
ABCS_03488	HRWT_TARGET	Primary Tumor
ABCS_03489	HRWT_TARGET	Primary Tumor
ABCS_03490	HRWT_TARGET	Primary Tumor
ABCS_03491	HRWT_TARGET	Primary Tumor
ABCS_03492	HRWT_TARGET	Primary Tumor
ABCS_03493	HRWT_TARGET	Primary Tumor
ABCS_03494	HRWT_TARGET	Primary Tumor
ABCS_03495	HRWT_TARGET	Primary Tumor
ABCS_03496	HRWT_TARGET	Primary Tumor
ABCS_03497	HRWT_TARGET	Primary Tumor
ABCS_03498	HRWT_TARGET	Primary Tumor
ABCS_03499	HRWT_TARGET	Primary Tumor
ABCS_08694	RBD_TARGET	Solid Tissue Normal
ABCS_03500	HRWT_TARGET	Solid Tissue Normal
ABCS_08695	RBD_TARGET	Solid Tissue Normal
ABCS_08696	RBD_TARGET	Solid Tissue Normal
ABCS_08697	RBD_TARGET	Solid Tissue Normal
ABCS_03501	HRWT_TARGET	Solid Tissue Normal
ABCS_03502	HRWT_TARGET	Solid Tissue Normal
ABCS_03503	HRWT_TARGET	Solid Tissue Normal
ABCS_03504	HRWT_TARGET	Solid Tissue Normal
ABCS_08698	RBD_TARGET	Solid Tissue Normal
ABCS_03505	HRWT_TARGET	Solid Tissue Normal
ABCS_08699	RBD_TARGET	Solid Tissue Normal
ABCS_08700	RBD_TARGET	Primary Tumor
ABCS_08701	RBD_TARGET	Primary Tumor
ABCS_08702	RBD_TARGET	Primary Tumor
ABCS_08703	RBD_TARGET	Primary Tumor
ABCS_08704	RBD_TARGET	Primary Tumor
ABCS_08705	RBD_TARGET	Primary Tumor
ABCS_08706	RBD_TARGET	Primary Tumor
ABCS_08707	RBD_TARGET	Primary Tumor
ABCS_08708	RBD_TARGET	Primary Tumor
ABCS_08709	RBD_TARGET	Primary Tumor
ABCS_08710	RBD_TARGET	Primary Tumor
ABCS_08711	RBD_TARGET	Primary Tumor
